"Front","Back","Tags"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Outline the DAG IP3 pathway leading to PKC activation.","Hormone binds receptor and activates G protein, which activates phospholipase C. Phospholipase C splits PIP2 into DAG and IP3. DAG activates protein kinase C, while IP3 triggers calcium release from the endoplasmic reticulum, and calcium can further activate PKC.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Mechanism of action of lipid soluble steroid hormones.","Steroid hormone diffuses through the plasma membrane and binds an intracellular receptor. The hormone receptor complex binds hormone response elements on DNA, initiating transcription to mRNA, which is translated into proteins that mediate the response.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Three major types of stimuli for hormone release with one example each.","Humoral: changes in blood ions or nutrients, for example low blood calcium stimulating parathyroid hormone. Neural: nerve fibers stimulating hormone release, for example sympathetic input to the adrenal medulla. Hormonal: hormones from one gland stimulating another, for example hypothalamic releasing hormones acting on the anterior pituitary.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Three factors that determine target cell activation by a hormone.","Blood concentration of the hormone, number of receptors on the target cell, and the affinity between hormone and receptor.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> How do water soluble and lipid soluble hormones differ in circulation and half life?","Water soluble hormones circulate freely in plasma and generally have short half lives of minutes. Lipid soluble steroid and thyroid hormones circulate bound to plasma proteins and have longer half lives ranging from hours to days.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Name the two lobes of the pituitary and their basic tissue type and function.","Anterior pituitary or adenohypophysis is glandular tissue that synthesizes and secretes hormones. Posterior pituitary or neurohypophysis is neural tissue that stores and releases hormones made by the hypothalamus.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> How is the anterior pituitary functionally connected to the hypothalamus?","By the hypophyseal portal system: hypothalamic neurosecretory cells secrete releasing and inhibiting hormones into a primary capillary plexus, these travel through portal veins to the anterior pituitary, which then adjusts its hormone secretion into a secondary capillary plexus.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> List the main hypothalamic releasing or inhibiting hormones mentioned.","Growth hormone releasing and inhibiting factors, somatostatin, thyrotropin releasing hormone, corticotropin releasing hormone, gonadotropin releasing hormone, and prolactin inhibiting hormone dopamine.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> List the six major anterior pituitary hormones and one main function of each.","Growth hormone stimulates body growth, protein synthesis, and fat metabolism. Thyroid stimulating hormone stimulates thyroid hormone release. Adrenocorticotropic hormone stimulates adrenal cortex corticosteroids. Follicle stimulating hormone stimulates gamete production. Luteinizing hormone stimulates ovulation and testosterone production. Prolactin stimulates milk production.","Endocrine"
"<span style='color:#8e44ad;font-weight:bold;'>[Endocrine]</span> Which anterior pituitary hormone does not use cAMP as a second messenger in this course?","Growth hormone.","Endocrine"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Define hematocrit and give typical values for males vs females.","Hematocrit is the percentage of blood volume occupied by red blood cells, typically about 45 percent overall, about 47 percent in males and 42 percent in females depending on the source.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> What are the three major components when a blood sample is centrifuged?","Plasma on top, buffy coat in the middle containing leukocytes and platelets, and erythrocytes at the bottom forming the hematocrit.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Major plasma proteins and their primary functions.","Albumin maintains osmotic pressure and transports substances. Globulins transport lipids and fat soluble vitamins and some are antibodies. Fibrinogen is important for blood clotting.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Why are erythrocytes well suited for gas transport?","They are biconcave for high surface area, have no mitochondria so they use anaerobic metabolism and do not consume oxygen they carry, and are mostly filled with hemoglobin for gas binding.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Define oxyhemoglobin, deoxyhemoglobin, and carbaminohemoglobin.","Oxyhemoglobin is hemoglobin bound to oxygen in the lungs, deoxyhemoglobin is hemoglobin after releasing oxygen to tissues, and carbaminohemoglobin is hemoglobin with carbon dioxide bound to the globin portion, carrying about 20 percent of blood carbon dioxide.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Where does hematopoiesis occur in adults and what is the stem cell?","It occurs in red bone marrow myeloid tissue and all formed elements derive from the hematopoietic stem cell called the hemocytoblast.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> List the main stages of erythropoiesis from stem cell to mature erythrocyte.","Hematopoietic stem cell to myeloid stem cell to proerythroblast to basophilic erythroblast to polychromatic erythroblast to orthochromatic erythroblast to reticulocyte to mature erythrocyte.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> What is the role of erythropoietin and its main site of production?","Erythropoietin stimulates erythropoiesis and is mainly produced by the kidneys in response to hypoxia, with some contribution from the liver.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Nutritional requirements for effective erythropoiesis.","Adequate supplies of amino acids, lipids, and carbohydrates, iron for hemoglobin synthesis, and vitamin B12 and folic acid for DNA synthesis in rapidly dividing precursor cells.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Typical lifespan of an erythrocyte and fate of its components after destruction.","Lifespan is about 100 to 120 days. Macrophages, mainly in the spleen, phagocytose old cells. Iron is stored and reused, heme is degraded to bilirubin and excreted in bile, and globin is broken down to amino acids.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Define anemia in general terms and name three broad causes.","Anemia is a condition with decreased oxygen carrying capacity of the blood. Causes include low red blood cell number, low hemoglobin content, or abnormal hemoglobin.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> What is polycythemia and one danger it poses?","Polycythemia is an abnormal excess of red blood cells that increases blood viscosity, which can impair blood flow and strain the heart.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Origin and basic function of platelets.","Platelets form from fragmentation of megakaryocytes in the bone marrow. They are cell fragments that help form temporary plugs in damaged blood vessels and participate in clotting.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Three major steps of hemostasis.","Vascular spasm where vessels constrict, platelet plug formation where platelets adhere to collagen and each other, and coagulation where fibrin reinforces the plug and blood is converted to a gel.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> What is von Willebrand factor and its role in hemostasis?","A large multimeric protein produced by megakaryocytes and endothelial cells that binds to exposed collagen in damaged vessels and helps platelets adhere to the site of injury.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> What triggers the intrinsic pathway vs the extrinsic pathway of coagulation?","Intrinsic pathway is triggered by negatively charged surfaces such as activated platelets or exposed collagen and uses factors already present in blood. Extrinsic pathway is triggered by tissue factor from damaged tissues outside the blood.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> In coagulation, what common step is marked by activated factor X?","Both intrinsic and extrinsic pathways converge at activation of factor X, which helps form the prothrombin activator complex.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Briefly describe clot retraction.","Platelet actin and myosin contract, pulling on fibrin strands, shrinking the clot, squeezing out serum, and drawing damaged vessel edges together while growth factors stimulate repair.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> How is fibrinolysis initiated and what enzyme actually digests the clot?","Plasminogen trapped in the clot is converted to plasmin by tissue plasminogen activator, and plasmin enzymatically digests fibrin, dissolving the clot.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Mechanisms that normally limit clot growth to the site of damage.","Rapid blood flow removes and dilutes clotting factors, natural inhibitors inactivate activated factors, fibrin binds and localizes thrombin, and antithrombin III with heparin inactivates circulating thrombin.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Define thrombus, embolus, and pulmonary embolism.","A thrombus is a clot that develops in an unbroken vessel and may block blood flow. An embolus is a free floating clot fragment. A pulmonary embolism is an embolus that lodges in pulmonary vessels and impairs oxygenation.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Major bleeding disorders caused by low platelets, impaired liver, and factor deficiencies.","Thrombocytopenia is low platelet count. Impaired liver function reduces production of clotting factors. Hemophilias are hereditary deficiencies of specific clotting factors such as VIII, IX, or XI.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> Basic ABO blood group antigens and antibodies for type A, B, AB, and O.","Type A has A antigens and anti B antibodies. Type B has B antigens and anti A antibodies. Type AB has both A and B antigens and no anti A or anti B antibodies universal recipient. Type O has no A or B antigens and both anti A and anti B antibodies universal donor for red cells.","Blood"
"<span style='color:#d35400;font-weight:bold;'>[Blood]</span> What is erythroblastosis fetalis and how is it prevented?","A hemolytic disease in an Rh negative mother carrying an Rh positive fetus after sensitization, where maternal anti Rh antibodies attack fetal red blood cells. It is prevented by giving RhoGAM, anti Rh antibodies, to the mother to prevent her immune system from becoming sensitized.","Blood"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Name and briefly describe the two main circulatory circuits of the heart.","Pulmonary circuit: right heart pumps deoxygenated blood to the lungs for oxygenation and carbon dioxide removal. Systemic circuit: left heart pumps oxygenated blood to the body to deliver oxygen and nutrients and remove wastes.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Define artery and vein in terms of blood flow, not oxygen content.","Arteries carry blood away from the heart. Veins carry blood toward the heart, regardless of oxygenation level.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Which heart layers correspond to pericardium, myocardium, and endocardium?","Pericardium is the outer double walled sac including fibrous and serous layers. Myocardium is the thick middle cardiac muscle layer responsible for contraction. Endocardium is the inner endothelial lining of chambers and valves.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Two main types of heart valves and their function.","Atrioventricular valves between atria and ventricles prevent backflow into atria. Semilunar valves between ventricles and great arteries prevent backflow into ventricles.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Explain the role of chordae tendineae and papillary muscles.","Chordae tendineae anchor AV valve cusps to papillary muscles, which contract during ventricular systole to hold the cusps closed and prevent eversion into the atria.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> What produces the two main heart sounds lub and dub?","Lub is closure of the atrioventricular valves at the start of ventricular systole. Dub is closure of the semilunar valves at the start of ventricular diastole.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Basic route of blood through the pulmonary circuit from systemic veins back to heart and lungs.","Deoxygenated blood returns via superior vena cava, inferior vena cava, and coronary sinus to the right atrium, passes through the tricuspid valve to the right ventricle, then through the pulmonary semilunar valve into the pulmonary trunk and pulmonary arteries leading to the lungs.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Basic route of blood through the systemic circuit from lungs to body.","Oxygenated blood returns from the lungs via pulmonary veins to the left atrium, passes through the mitral valve to the left ventricle, then through the aortic semilunar valve into the aorta and systemic arteries to the body.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> What is coronary circulation and when is blood mainly delivered to the myocardium?","The coronary circulation is the functional blood supply to the heart muscle via coronary arteries and cardiac veins, and blood is mainly delivered to the myocardium when the heart is relaxed during diastole.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Structural features of cardiac muscle cells and intercalated discs.","Cardiac myocytes are striated, short, branched cells with one central nucleus and many mitochondria. Intercalated discs connect cells and contain desmosomes that hold cells together and gap junctions that allow electrical coupling for a functional syncytium.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Distinguish contractile cells from pacemaker cells in the heart.","Contractile cells are about 99 percent of cardiac muscle and generate force for pumping. Pacemaker cells about 1 percent are noncontractile autorhythmic cells that spontaneously depolarize and initiate and distribute impulses through the conduction system.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> List the main components of the intrinsic cardiac conduction system in order of activation.","Sinoatrial node, atrioventricular node with a brief delay, atrioventricular bundle bundle of His, right and left bundle branches, and Purkinje fibers throughout the ventricles.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Describe the three phases of the pacemaker cell action potential.","Pacemaker potential is a slow depolarization due to sodium influx and reduced potassium efflux. Depolarization occurs when calcium channels open at threshold and calcium influx drives the upstroke. Repolarization occurs as calcium channels close and potassium channels open, allowing potassium efflux to bring the membrane potential back down.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> What does the P wave, QRS complex, and T wave represent on an ECG?","The P wave represents atrial depolarization from the sinoatrial node. The QRS complex represents ventricular depolarization, while atrial repolarization is hidden. The T wave represents ventricular repolarization.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Define systole, diastole, and cardiac cycle.","Systole is the period of contraction, diastole is the period of relaxation, and the cardiac cycle is all events associated with blood flow through the heart during one complete heartbeat, including both atrial and ventricular systole and diastole.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Describe ventricular filling phase of the cardiac cycle and define EDV.","During mid to late diastole the atrioventricular valves are open and about 80 percent of ventricular filling is passive, followed by atrial systole adding the remaining volume. End diastolic volume EDV is the volume of blood in each ventricle at the end of ventricular diastole, about 120 milliliters.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> What is isovolumetric contraction and when does it occur?","A brief phase at the start of ventricular systole when ventricles contract with all valves closed, so pressure rises sharply but no blood is ejected yet.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Define stroke volume and give its formula.","Stroke volume is the volume of blood pumped by one ventricle per beat, calculated as end diastolic volume minus end systolic volume.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Define cardiac output and give normal resting value in an adult.","Cardiac output is the volume of blood pumped by each ventricle per minute, equal to heart rate times stroke volume. A typical resting value is about 5 liters per minute.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Define preload, contractility, and afterload in relation to stroke volume.","Preload is the degree of stretch of ventricular muscle at the end of diastole. Contractility is the intrinsic strength of contraction at a given fiber length. Afterload is the pressure the ventricle must overcome to eject blood, mainly arterial pressure.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> How does increased venous return affect stroke volume according to the Frank Starling law?","Increased venous return increases end diastolic volume and stretches ventricular fibers, which increases force of contraction and stroke volume according to the Frank Starling law of the heart.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> How does sympathetic stimulation affect heart rate and contractility?","Sympathetic activity releases norepinephrine onto beta one receptors, increasing the rate of pacemaker depolarization and heart rate and increasing calcium entry into cardiac myocytes, which enhances contractility.","Heart"
"<span style='color:#2c3e50;font-weight:bold;'>[Heart]</span> Effect of parasympathetic vagal activity on heart rate and what is vagal tone?","Parasympathetic activity via the vagus nerve releases acetylcholine, which opens potassium channels and hyperpolarizes pacemaker cells, slowing heart rate. Vagal tone is the resting parasympathetic influence that maintains a typical resting heart rate around 75 beats per minute.","Heart"
